gender,age,country,city,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,payment_method,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,complaint_type,csat_score,escalations,email_open_rate,marketing_click_rate,nps_score,survey_response,referral_count,churn,tenure_fee_interaction
Male,54,Bangladesh,Dhaka,Enterprise,14,Web,Monthly,24,2,10.223439800416369,6,0.04,9,20,Card,0,No,Yes,2,49.72450588691105,Service,4.0,0,0.3,0.17,77,Satisfied,0,0,280
Male,65,Bangladesh,London,Individual,41,Web,Monthly,28,4,15.369837667741278,5,0.34,0,50,PayPal,1,No,No,1,24.467867747682483,Technical,2.0,0,0.36,0.26,19,Satisfied,1,0,2050
Male,24,Germany,Dhaka,Individual,48,Referral,Monthly,19,6,13.991212386315038,4,0.22,4,30,Card,1,No,Yes,1,26.91982224732825,Service,3.0,0,0.55,0.26,-16,Neutral,0,0,1440
Female,22,Germany,Delhi,Individual,2,Referral,Yearly,32,7,9.025836761320804,9,0.0,5,30,Card,2,No,No,2,30.95588452025188,Technical,3.0,0,0.21,0.19,55,Neutral,1,0,60
Male,28,USA,Toronto,Enterprise,14,Mobile,Monthly,14,2,16.185839364714774,4,0.11,20,20,Card,1,No,No,0,42.7623883351522,Technical,4.0,0,0.71,0.36,-30,Satisfied,1,0,280
Female,32,Australia,New York,Individual,4,Web,Monthly,1,7,17.421436539865446,7,-0.08,12,30,Bank Transfer,0,Yes,No,1,36.61299125758428,Technical,3.0,0,0.32,0.13,3,Unsatisfied,0,1,120
Female,20,Australia,Dhaka,Individual,3,Referral,Yearly,9,0,18.70103140272973,7,-0.03,0,70,Bank Transfer,1,Yes,No,2,41.268949169905504,Technical,3.0,0,0.61,0.47,60,Satisfied,2,0,210
Female,22,Germany,Toronto,Individual,3,Web,Yearly,21,7,20.333383249273236,7,0.0,0,30,PayPal,0,Yes,Yes,1,40.22396316663823,Service,4.0,0,0.89,0.41,23,Satisfied,2,0,90
Male,40,UK,Sydney,Individual,11,Web,Monthly,22,1,10.63221144303896,2,-0.11,0,10,Card,0,No,No,4,15.011731251479317,Technical,3.0,1,0.21,0.2,61,Neutral,2,0,110
Female,70,UK,London,Individual,5,Mobile,Quarterly,21,7,22.010395319376588,6,0.05,0,30,PayPal,1,No,No,0,32.14156915876213,Technical,3.0,0,0.32,0.3,-12,Neutral,1,0,150
Male,54,USA,London,SME,48,Web,Monthly,32,6,14.493707850010871,2,-0.28,3,10,Bank Transfer,2,No,Yes,0,18.325894230925428,Technical,5.0,2,0.81,0.36,25,Satisfied,1,0,480
Female,32,UK,Toronto,Individual,29,Referral,Monthly,23,2,10.579038891079623,3,-0.04,16,30,Card,1,No,No,0,7.510576743122932,Technical,4.0,0,0.62,0.14,18,Satisfied,0,0,870
Female,20,UK,Dhaka,SME,28,Web,Monthly,29,1,27.014611022290183,3,0.13,11,50,PayPal,1,No,No,1,22.870343209463652,Billing,2.0,0,0.57,0.44,-3,Satisfied,0,0,1400
Female,46,Canada,New York,SME,23,Referral,Quarterly,3,2,18.530485715499985,5,-0.05,1,10,Card,1,No,No,3,28.12195843508985,Billing,3.0,1,0.83,0.5,44,Neutral,2,0,230
Female,34,Germany,New York,Individual,23,Referral,Monthly,33,2,6.510632970876996,5,-0.03,28,30,PayPal,0,No,No,0,28.82301279621892,Service,3.0,0,0.31,0.38,68,Unsatisfied,1,0,690
Female,43,UK,Delhi,Individual,51,Referral,Monthly,27,6,22.60695942001968,4,-0.14,8,10,Card,1,No,No,0,29.16801122584152,Billing,4.0,1,0.23,0.04,34,Satisfied,1,0,510
Female,38,India,Sydney,SME,41,Mobile,Yearly,23,3,7.405863696755413,4,0.04,6,10,Card,0,Yes,No,1,27.26873149783884,Technical,4.0,1,0.68,0.37,38,Neutral,0,0,410
Male,25,Bangladesh,Berlin,Individual,22,Mobile,Monthly,28,7,30.52033151327268,5,0.03,16,70,PayPal,0,No,No,1,24.020495392937654,Technical,5.0,0,0.58,0.48,-65,Neutral,1,0,1540
Male,38,Canada,New York,Individual,43,Referral,Quarterly,0,2,20.12920706749512,6,0.16,17,10,Card,1,No,No,1,8.215345852025811,Technical,3.0,1,0.85,0.37,1,Satisfied,2,0,430
Female,74,UK,London,SME,12,Web,Monthly,18,4,5.868476305884711,6,0.24,4,30,PayPal,0,No,No,1,19.83159490120358,Billing,4.0,1,0.11,0.17,-25,Satisfied,1,0,360
Female,28,Bangladesh,Delhi,Individual,27,Web,Quarterly,7,6,16.49188560465506,4,0.36,1,70,Card,2,Yes,Yes,1,24.54622209579724,Technical,3.0,1,0.86,0.47,-36,Unsatisfied,1,0,1890
Female,55,Bangladesh,London,Individual,58,Mobile,Monthly,23,4,28.769626145819707,6,0.07,17,10,Card,0,No,No,1,24.774432124096364,Technical,2.0,0,0.6,0.18,59,Satisfied,0,0,580
Female,59,USA,London,SME,40,Mobile,Quarterly,28,5,12.492295115448368,5,0.06,11,20,Card,2,Yes,Yes,1,26.817294249167237,Billing,2.0,0,0.44,0.17,28,Neutral,0,1,800
Male,52,India,Dhaka,SME,49,Mobile,Quarterly,7,5,9.71745806085167,4,-0.04,1,30,Card,0,No,No,1,26.0109118945919,Service,5.0,0,0.59,0.44,-51,Satisfied,1,0,1470
Male,72,India,Toronto,SME,52,Mobile,Monthly,10,5,24.339220025023657,3,0.09,15,10,Card,1,No,No,1,22.91113436382605,Billing,2.0,0,0.29,0.18,30,Satisfied,1,0,520
Male,31,UK,Toronto,Individual,15,Web,Monthly,6,7,9.006143751173141,6,0.2,2,30,Card,0,No,No,0,26.21135509228189,Technical,3.0,1,0.14,0.22,15,Neutral,1,0,450
Female,31,India,Delhi,Individual,23,Mobile,Monthly,26,0,23.754851640109614,5,-0.01,1,30,Card,0,No,Yes,2,18.490502640880678,Service,2.0,0,0.28,0.02,-5,Satisfied,3,0,690
Female,27,Bangladesh,Delhi,SME,44,Web,Monthly,13,4,15.393576161501317,3,-0.1,21,50,Card,0,Yes,No,2,37.28779351559047,Service,3.0,0,0.15,0.43,-17,Satisfied,0,0,2200
Female,55,Australia,London,Enterprise,44,Referral,Monthly,19,0,13.679665271423076,7,-0.07,1,20,PayPal,1,No,No,1,21.73458584857025,Technical,4.0,1,0.76,0.1,17,Unsatisfied,0,0,880
Female,61,Australia,New York,Individual,19,Mobile,Monthly,19,1,7.115452536017008,3,-0.17,14,30,Card,1,Yes,No,2,25.33143315946949,Technical,4.0,0,0.58,0.24,87,Neutral,2,0,570
Male,72,Canada,Delhi,Individual,44,Referral,Monthly,15,6,20.195862385117863,4,0.05,8,10,Card,1,No,No,0,30.04901318281916,Service,3.0,1,0.46,0.06,17,Unsatisfied,3,0,440
Female,63,UK,London,Individual,11,Mobile,Monthly,12,2,17.357794918120742,6,-0.02,14,30,Card,2,No,No,1,26.745246493339533,Technical,2.0,1,0.72,0.37,-44,Unsatisfied,1,1,330
Male,58,USA,Dhaka,Individual,40,Mobile,Monthly,14,7,14.39385549280083,2,-0.01,14,20,PayPal,1,No,Yes,0,6.585886462154875,Billing,5.0,0,0.47,0.26,-11,Satisfied,2,0,800
Female,27,USA,Toronto,Individual,43,Web,Yearly,5,2,8.17725801847205,10,0.01,1,50,Card,0,Yes,No,2,23.97144827973592,Technical,3.0,0,0.58,0.43,52,Satisfied,0,0,2150
Male,34,India,Delhi,SME,3,Web,Yearly,19,4,14.956605683514102,4,0.01,1,20,PayPal,0,No,No,1,14.665058613879632,Technical,5.0,2,0.37,0.02,36,Neutral,0,0,60
Female,48,USA,Sydney,SME,38,Mobile,Monthly,4,1,19.38887853212307,4,0.01,10,50,Card,1,Yes,No,1,28.65533318527303,Service,5.0,1,0.71,0.1,-61,Satisfied,0,0,1900
Female,68,UK,New York,SME,9,Web,Quarterly,32,6,16.181186299618698,4,0.09,15,50,PayPal,0,No,No,2,30.974051105967675,Service,4.0,0,0.47,0.12,60,Unsatisfied,0,0,450
Male,18,Bangladesh,Berlin,Individual,41,Web,Quarterly,22,3,22.34384180539017,5,0.14,4,10,PayPal,0,Yes,No,2,23.503369709326435,Service,4.0,0,0.1,0.18,28,Satisfied,0,0,410
Male,29,Germany,Toronto,Individual,38,Mobile,Quarterly,25,5,15.542769834235148,5,-0.17,0,50,PayPal,2,No,Yes,1,21.721395796459497,Technical,2.0,0,0.61,0.04,29,Unsatisfied,0,0,1900
Male,21,Canada,Berlin,Individual,1,Web,Monthly,27,1,5.626137004810996,4,-0.22,3,10,Bank Transfer,1,Yes,No,2,22.506607114960165,Technical,3.0,0,0.59,0.4,-33,Satisfied,0,0,10
Male,59,Australia,London,SME,35,Mobile,Yearly,25,6,11.15873803906122,3,0.01,25,20,PayPal,0,Yes,No,2,33.26707232654894,Service,4.0,0,0.88,0.37,39,Neutral,1,1,700
Male,30,USA,New York,Individual,35,Web,Monthly,17,3,12.051570326421883,4,-0.06,13,20,Card,0,Yes,No,1,36.28579911694359,Technical,2.0,0,0.67,0.07,94,Satisfied,0,0,700
Male,51,USA,Sydney,Individual,12,Web,Yearly,19,0,15.179540884293129,5,-0.12,9,10,Card,1,No,No,3,33.16694971327691,Technical,4.0,0,0.32,0.01,33,Satisfied,1,0,120
Male,59,Canada,London,Individual,36,Web,Monthly,7,0,23.3082550906363,6,0.02,23,30,PayPal,0,Yes,Yes,3,31.224061964874053,Technical,4.0,1,0.48,0.05,67,Satisfied,0,0,1080
Female,38,UK,Berlin,Individual,21,Mobile,Monthly,20,5,17.727144801829468,4,-0.13,0,50,Bank Transfer,1,No,Yes,2,17.062046825596674,Service,3.0,0,0.45,0.23,0,Unsatisfied,1,0,1050
Female,39,India,Toronto,SME,48,Referral,Yearly,36,2,16.24636952831633,7,0.09,7,20,Card,1,Yes,No,1,12.20311733225302,Billing,2.0,0,0.65,0.27,-39,Satisfied,0,0,960
Male,74,Canada,New York,Individual,43,Referral,Quarterly,24,5,7.281570771729517,6,0.01,12,20,PayPal,0,No,No,1,28.53677351179713,Service,5.0,0,0.59,0.32,-2,Satisfied,2,0,860
Female,21,India,Delhi,Individual,8,Mobile,Quarterly,42,0,13.922269262212849,2,-0.02,0,50,PayPal,0,No,No,2,35.07518016065944,Technical,5.0,0,0.45,0.03,79,Satisfied,1,0,400
Female,35,USA,Sydney,Enterprise,27,Web,Monthly,25,5,10.657705746528642,2,0.04,12,20,PayPal,0,No,No,1,24.2726440000758,Technical,4.0,0,0.81,0.27,100,Neutral,2,0,540
Female,22,UK,Toronto,Individual,9,Web,Yearly,22,5,7.841616587790844,4,0.1,10,10,Card,1,No,Yes,1,18.636644507647823,Technical,2.0,0,0.13,0.09,-33,Neutral,2,0,90
Female,36,Germany,Sydney,SME,28,Web,Yearly,18,6,1.0,5,0.01,9,30,PayPal,0,Yes,No,1,25.85601605427897,Technical,4.0,0,0.43,0.38,1,Satisfied,1,0,840
Female,29,Canada,Dhaka,Enterprise,14,Mobile,Monthly,15,7,27.21491300956673,3,-0.01,2,30,Card,0,Yes,No,3,47.066245287046016,Billing,5.0,0,0.12,0.5,44,Neutral,2,0,420
Female,27,Australia,Berlin,Individual,29,Web,Yearly,11,1,9.025624677591097,4,-0.21,25,50,Card,1,No,No,0,19.291813740483427,Billing,2.0,1,0.47,0.42,1,Unsatisfied,0,0,1450
Female,51,Germany,Sydney,Enterprise,26,Web,Quarterly,42,2,11.617056374949732,9,0.01,16,70,PayPal,0,No,No,1,25.00014652177512,Technical,3.0,0,0.64,0.44,15,Neutral,3,0,1820
Female,23,Canada,New York,SME,22,Web,Yearly,21,0,32.60016552142086,1,0.22,25,50,Bank Transfer,1,Yes,No,1,38.0296557615061,Billing,5.0,1,0.73,0.24,39,Neutral,1,0,1100
Female,68,Germany,Toronto,Individual,51,Web,Yearly,25,2,16.508693873052273,1,0.06,8,20,Bank Transfer,1,No,Yes,2,19.660778628381163,Technical,5.0,0,0.15,0.17,-42,Satisfied,1,0,1020
Male,28,Canada,Sydney,Enterprise,9,Mobile,Monthly,17,7,20.236770866722445,6,0.1,5,10,Bank Transfer,1,Yes,Yes,3,26.19862826385773,Billing,4.0,2,0.54,0.43,1,Neutral,1,0,90
Female,74,Bangladesh,Dhaka,SME,26,Web,Monthly,12,3,17.08881608166477,6,0.36,3,20,Card,0,No,No,2,16.607304116671422,Technical,3.0,1,0.19,0.45,10,Satisfied,1,0,520
Male,29,USA,Toronto,SME,17,Mobile,Monthly,11,1,12.80170590909252,6,0.05,2,20,PayPal,0,No,No,1,23.123570376440576,Technical,3.0,0,0.49,0.48,5,Satisfied,3,0,340
Female,26,Bangladesh,Toronto,Individual,9,Web,Quarterly,11,3,16.935084014882968,7,-0.05,7,50,Card,0,No,No,1,8.736811836497063,Technical,4.0,1,0.19,0.13,39,Neutral,2,0,450
Male,19,UK,New York,Individual,3,Web,Monthly,0,1,19.412293070586703,7,0.21,15,20,Card,1,Yes,No,0,16.225823143501692,Technical,3.0,1,0.13,0.03,88,Satisfied,0,0,60
Male,70,UK,Sydney,Individual,13,Web,Quarterly,25,6,17.196418338992782,7,0.05,6,50,Bank Transfer,0,No,Yes,0,22.71849160008816,Billing,4.0,1,0.39,0.17,80,Satisfied,2,0,650
Female,53,UK,Berlin,SME,26,Referral,Monthly,28,4,6.145405880843796,5,0.1,2,50,Card,0,No,No,3,30.796739985777144,Technical,3.0,1,0.78,0.43,-27,Satisfied,0,0,1300
Female,27,UK,Toronto,Individual,17,Web,Monthly,13,5,9.222364270439003,6,-0.12,9,30,PayPal,0,No,No,0,26.81470176554447,Technical,5.0,0,0.13,0.05,61,Satisfied,0,0,510
Female,38,Bangladesh,London,Individual,32,Web,Monthly,23,2,2.3202353997671725,5,0.32,27,20,Card,0,No,No,2,23.628089126455563,Service,2.0,0,0.73,0.13,8,Satisfied,0,0,640
Female,37,Canada,Toronto,Individual,24,Mobile,Quarterly,27,3,18.31386576641149,8,-0.07,1,10,PayPal,0,Yes,No,3,27.0711804896054,Technical,3.0,0,0.16,0.13,-7,Satisfied,0,0,240
Female,65,Canada,London,Individual,54,Mobile,Monthly,35,0,11.002849942208208,9,-0.06,7,30,Card,0,No,No,1,10.191430871482094,Billing,3.0,0,0.82,0.06,75,Unsatisfied,1,0,1620
Female,25,Australia,London,Individual,57,Web,Quarterly,16,5,13.60544438069796,5,0.16,0,20,Card,0,No,No,0,2.5319324904463336,Service,3.0,0,0.68,0.49,35,Unsatisfied,2,0,1140
Female,53,Canada,Berlin,Individual,36,Mobile,Quarterly,5,1,15.602439897373792,6,0.11,14,30,Card,0,No,No,3,30.23055931268139,Service,2.0,0,0.61,0.29,16,Neutral,1,0,1080
Female,46,India,London,Individual,53,Mobile,Quarterly,10,7,17.110946962047787,4,0.05,20,30,Card,0,No,No,1,25.89525776295612,Billing,4.0,0,0.12,0.12,-13,Unsatisfied,2,0,1590
Female,59,Canada,Berlin,SME,22,Web,Monthly,3,7,1.6712679694356165,1,0.09,2,30,PayPal,0,No,No,1,19.232957694719587,Technical,4.0,0,0.63,0.48,-33,Satisfied,0,1,660
Female,29,Canada,New York,Enterprise,9,Mobile,Quarterly,24,0,17.70185946050415,4,-0.03,1,20,PayPal,0,Yes,No,1,8.936036829054027,Technical,4.0,0,0.29,0.12,-69,Unsatisfied,0,0,180
Female,31,Canada,Toronto,Individual,22,Web,Monthly,0,6,12.237442367433712,4,-0.05,0,20,PayPal,0,No,Yes,1,22.648639723860573,Billing,5.0,0,0.77,0.46,24,Neutral,2,0,440
Male,65,USA,Berlin,Individual,41,Web,Monthly,9,0,21.16452613975216,3,-0.15,13,10,Bank Transfer,0,No,Yes,1,27.74311949020926,Technical,3.0,0,0.51,0.04,-4,Satisfied,0,0,410
Female,38,Canada,Toronto,Enterprise,20,Web,Yearly,11,2,22.981659422951186,4,0.01,2,20,Bank Transfer,0,No,Yes,1,32.521991650587324,Billing,4.0,0,0.75,0.08,-3,Neutral,0,0,400
Female,39,Australia,Dhaka,Individual,3,Referral,Monthly,28,0,8.245176308779024,6,-0.18,9,20,Card,0,Yes,No,1,18.69521803861428,Technical,3.0,0,0.13,0.24,13,Satisfied,2,0,60
Female,61,USA,Sydney,SME,33,Mobile,Monthly,15,0,8.517943200288022,6,0.09,1,50,Card,0,No,Yes,2,27.090135667167104,Technical,3.0,0,0.73,0.07,12,Neutral,0,0,1650
Female,67,Bangladesh,Delhi,SME,18,Mobile,Yearly,29,0,11.72491960056866,8,0.02,1,20,PayPal,1,No,No,3,27.68682332656912,Technical,3.0,0,0.88,0.33,-30,Satisfied,0,0,360
Female,47,Canada,New York,Individual,36,Mobile,Yearly,16,1,26.77607403070441,5,0.3,0,10,PayPal,0,Yes,No,0,13.430040654587843,Technical,3.0,0,0.66,0.42,-44,Unsatisfied,2,0,360
Female,56,India,Sydney,SME,10,Mobile,Monthly,44,2,6.519825501042268,3,0.08,13,10,Card,2,No,No,0,14.214393074417842,Technical,3.0,0,0.1,0.18,15,Satisfied,1,1,100
Male,37,USA,Sydney,SME,36,Web,Monthly,30,3,13.22112533529152,7,0.02,1,50,Card,0,No,No,4,32.66325217718728,Technical,3.0,0,0.22,0.31,-2,Neutral,0,0,1800
Female,41,India,London,Enterprise,21,Web,Quarterly,31,2,20.5109603310948,2,0.12,3,30,PayPal,0,Yes,No,0,25.74917382028055,Technical,4.0,0,0.18,0.03,26,Unsatisfied,0,0,630
Male,40,Bangladesh,Delhi,Individual,25,Web,Yearly,6,0,13.435042705259086,3,-0.05,7,20,Card,1,No,No,0,30.733824922359037,Technical,4.0,0,0.26,0.23,37,Satisfied,0,0,500
Female,24,Bangladesh,London,Enterprise,49,Web,Quarterly,19,6,17.74061029792407,3,-0.01,14,20,PayPal,1,Yes,No,0,21.911491950828623,Technical,4.0,0,0.34,0.12,48,Satisfied,0,0,980
Female,26,USA,Delhi,Individual,40,Web,Yearly,17,3,11.263428339928108,5,-0.17,3,10,PayPal,0,No,No,0,28.12920088927497,Technical,5.0,1,0.35,0.07,-65,Satisfied,1,0,400
Male,18,Germany,Sydney,SME,51,Mobile,Monthly,15,5,14.252363704084,5,0.16,13,50,Card,0,No,Yes,1,34.045893021338586,Technical,4.0,0,0.86,0.46,10,Satisfied,0,0,2550
Female,43,Australia,London,Individual,9,Web,Quarterly,14,6,13.202278148223511,6,0.08,4,50,Bank Transfer,1,No,No,1,25.801793235287,Technical,4.0,1,0.23,0.3,-52,Neutral,2,0,450
Female,55,UK,Toronto,SME,27,Mobile,Monthly,0,5,23.21580956014092,3,0.23,5,20,Card,0,No,No,1,21.37402181554164,Technical,3.0,0,0.48,0.48,5,Satisfied,1,0,540
Female,71,Bangladesh,Delhi,Individual,56,Mobile,Quarterly,10,3,10.755732420873308,7,0.03,21,10,Card,0,No,No,0,34.81403626371718,Billing,3.0,0,0.32,0.04,31,Satisfied,0,0,560
Male,61,Germany,Delhi,Individual,56,Referral,Yearly,36,7,17.16993281148877,5,-0.03,3,20,Card,1,No,No,1,23.724956179627306,Technical,3.0,0,0.82,0.24,-34,Neutral,0,0,1120
Female,39,Bangladesh,London,Individual,57,Mobile,Yearly,14,3,21.71973939848709,2,0.07,12,20,Card,0,No,No,3,23.740183497625942,Technical,3.0,1,0.4,0.44,6,Satisfied,1,0,1140
Male,61,UK,Delhi,Individual,15,Referral,Monthly,13,2,18.863615722027497,1,0.01,9,30,Card,1,No,No,0,26.22409817293629,Technical,4.0,0,0.25,0.37,36,Satisfied,0,0,450
Female,27,Germany,Sydney,Individual,52,Mobile,Monthly,19,0,13.107628528456814,2,-0.08,16,10,Card,0,No,No,4,26.868689152435124,Technical,5.0,0,0.83,0.11,-17,Neutral,1,0,520
Male,72,Bangladesh,London,Enterprise,32,Mobile,Monthly,20,7,24.44930834621669,2,-0.03,22,20,Card,1,No,Yes,3,12.364943032314594,Technical,4.0,1,0.18,0.49,85,Satisfied,0,0,640
Female,34,UK,Berlin,Individual,53,Referral,Yearly,21,5,21.09291746087816,5,-0.1,10,50,Bank Transfer,1,No,No,2,29.446836562645515,Technical,5.0,0,0.62,0.21,31,Unsatisfied,0,0,2650
Female,68,Bangladesh,Dhaka,Individual,44,Mobile,Monthly,25,5,11.302616489503556,6,-0.24,3,10,Card,0,Yes,No,0,32.51439821173264,Technical,2.0,0,0.79,0.1,50,Satisfied,1,0,440
Male,67,Bangladesh,Dhaka,Individual,55,Mobile,Quarterly,25,6,19.101664400864507,4,-0.2,0,10,Card,2,No,No,3,21.745139200480686,Technical,3.0,0,0.52,0.21,-78,Satisfied,0,1,550
Female,55,India,Berlin,Individual,50,Web,Monthly,10,0,19.708508587460365,6,0.09,2,30,PayPal,0,No,No,2,38.74409910488169,Billing,3.0,0,0.59,0.19,42,Neutral,2,0,1500
Female,41,USA,Sydney,Individual,39,Referral,Quarterly,35,6,9.636250771948092,6,0.0,1,70,PayPal,1,No,No,2,29.948902322079704,Billing,3.0,1,0.7,0.09,-17,Satisfied,0,0,2730
Female,68,USA,Toronto,Individual,16,Mobile,Monthly,34,7,24.503251003991465,5,0.04,2,30,Card,0,Yes,Yes,1,32.438267894338125,Technical,3.0,0,0.27,0.42,15,Neutral,5,0,480
Male,27,Germany,Delhi,Individual,28,Referral,Monthly,33,4,22.903756399787977,3,-0.0,27,20,Card,0,No,Yes,2,28.0129665867332,Technical,3.0,0,0.59,0.4,3,Neutral,2,0,560
Male,25,Bangladesh,Delhi,SME,6,Web,Quarterly,16,2,5.096706240777914,3,0.16,5,10,Card,1,No,No,2,29.358465527357108,Technical,3.0,0,0.79,0.16,40,Satisfied,1,0,60
Male,38,India,New York,Individual,6,Web,Quarterly,20,5,13.75915222987695,6,0.13,2,10,Card,0,No,No,0,13.372569075745384,Technical,3.0,0,0.62,0.27,17,Neutral,1,0,60
Male,73,USA,Dhaka,Individual,38,Referral,Monthly,34,6,14.305783692470069,7,-0.19,6,10,PayPal,0,No,No,2,22.88880503760251,Technical,5.0,1,0.75,0.24,5,Satisfied,2,1,380
Male,38,India,Toronto,Individual,47,Web,Quarterly,12,4,11.712066387579762,2,0.08,2,30,Card,0,Yes,No,3,34.842965427324515,Technical,3.0,1,0.77,0.07,87,Neutral,2,0,1410
Male,74,Canada,Toronto,Enterprise,2,Mobile,Yearly,24,4,20.81287172085056,5,-0.09,3,20,Card,1,No,No,0,22.37280370650411,Service,5.0,1,0.37,0.12,9,Satisfied,2,0,40
Female,41,USA,Berlin,Individual,40,Web,Monthly,15,4,20.473057288589224,4,0.22,26,50,PayPal,0,No,No,3,14.961145446498575,Service,3.0,0,0.47,0.26,-26,Satisfied,1,0,2000
Male,50,Australia,Sydney,SME,7,Web,Monthly,36,7,23.761739295539115,9,0.21,7,20,Card,1,No,No,3,28.4772098063896,Billing,4.0,0,0.42,0.35,-51,Unsatisfied,0,0,140
Female,35,Canada,New York,SME,27,Mobile,Monthly,28,6,15.035189756921898,9,0.0,14,20,PayPal,1,No,No,1,30.97467692538715,Billing,5.0,0,0.46,0.3,75,Satisfied,0,0,540
Female,73,UK,Toronto,Individual,28,Referral,Monthly,29,2,4.241338571673557,8,0.09,0,70,PayPal,0,No,No,1,22.37874152171336,Technical,3.0,0,0.18,0.41,36,Unsatisfied,2,0,1960
Female,45,India,Sydney,Individual,16,Web,Quarterly,12,1,11.140300251235123,7,0.01,10,10,Card,0,No,No,1,33.42362598432005,Billing,4.0,1,0.32,0.38,30,Satisfied,0,0,160
Male,74,UK,Delhi,Individual,47,Mobile,Yearly,14,3,9.936090343242132,8,0.25,0,50,PayPal,0,No,Yes,1,40.8910810206351,Service,5.0,0,0.31,0.18,7,Unsatisfied,1,0,2350
Male,49,Canada,Dhaka,SME,52,Web,Quarterly,24,1,1.0,4,0.27,8,30,Card,0,No,No,1,13.221182378569692,Technical,3.0,0,0.87,0.47,52,Satisfied,1,0,1560
Male,29,Canada,Berlin,Individual,15,Referral,Quarterly,38,7,16.068532512580777,5,-0.32,1,30,Card,0,No,No,1,22.12032024491639,Service,4.0,0,0.47,0.22,-3,Satisfied,0,0,450
Female,65,Germany,London,Individual,34,Referral,Yearly,23,5,13.92601192823852,4,-0.08,19,20,PayPal,2,No,No,0,11.53320916755882,Billing,3.0,0,0.57,0.05,41,Neutral,1,0,680
Male,59,India,New York,Individual,20,Web,Quarterly,36,6,17.530312423882556,6,-0.03,12,30,PayPal,1,Yes,No,0,24.760857782501816,Billing,3.0,0,0.12,0.44,44,Neutral,2,0,600
Male,44,Bangladesh,Dhaka,Individual,14,Mobile,Yearly,26,5,8.319505316613412,5,0.36,4,50,Card,0,No,No,0,5.823837235433345,Technical,5.0,0,0.7,0.23,28,Satisfied,1,0,700
Male,27,Australia,Dhaka,Individual,58,Web,Quarterly,17,0,23.155081373186533,8,-0.19,0,30,PayPal,1,No,No,2,27.61040065731453,Technical,4.0,0,0.13,0.03,12,Satisfied,2,0,1740
Male,63,Australia,Dhaka,SME,11,Mobile,Yearly,12,4,16.241710855256308,2,0.05,10,20,Card,0,No,No,3,29.756506107529468,Service,4.0,1,0.55,0.4,53,Satisfied,2,0,220
